id,organization_id,name,alternate_name,description,transportation,latitude,longitude
30,1899673,Beachside Example City Warehouses,-119.897426,Access is restricted to authorised distributors and suppliers.,-119.897426,-119.897426
30,18996,The Roz Bernstein Building,-119.897426,Private offices that are not open to the public.,-119.897426,-119.897426
30,1899691,Example City Silvers Building,The Shires,The Shires is open to the public everyday.,-119.897426,-119.897426
30,1899600,Sanctuary on 5th Street,-119.897426,This is the main office and is open to the public during office hours.,-119.897426,-119.897426
30,18996320,4830 Highland Drive,-119.897426,This call center is not open to the public.,-119.897426,-119.897426
30,18996,Example City Hall,-119.897426,This is the location of the offices - parks are located throughout Example City.,-119.897426,-119.897426
30,18997068,St Cross Universal Church,-119.897426,The venue is open to the public for church services - personal care is provided on-site.,-119.897426,-119.897426
30,189969,The Example Center,-119.897426,The spaces are open to the public.,-119.897426,-119.897426
30,0,The Example Center,-119.897426,Therapy is provided on the 5th floor which is open to visitors with appointments only.,-119.897426,-119.897426
30,18996,Example City Hall,The City's Kitchen,This soup kitchen provides hot meals only.,-119.897426,-119.897426
